"idx","US"
"1960-12-31",5.433e11
"1961-12-31",5.633e11
"1962-12-31",6.051e11
"1963-12-31",6.386e11
"1964-12-31",6.858e11
"1965-12-31",7.437e11
"1966-12-31",8.15e11
"1967-12-31",8.617e11
"1968-12-31",9.425e11
"1969-12-31",1.0199e12
"1970-12-31",1.0759e12
"1971-12-31",1.1678e12
"1972-12-31",1.2824e12
"1973-12-31",1.4285e12
"1974-12-31",1.5488e12
"1975-12-31",1.6889e12
"1976-12-31",1.8776e12
"1977-12-31",2.086e12
"1978-12-31",2.3566e12
"1979-12-31",2.6321e12
"1980-12-31",2.8625e12
"1981-12-31",3.211e12
"1982-12-31",3.345e12
"1983-12-31",3.6381e12
"1984-12-31",4.0407e12
"1985-12-31",4.3467e12
"1986-12-31",4.5902e12
"1987-12-31",4.8702e12
"1988-12-31",5.2526e12
"1989-12-31",5.6577e12
"1990-12-31",5.9796e12
"1991-12-31",6.174e12
"1992-12-31",6.5393e12
"1993-12-31",6.8787e12
"1994-12-31",7.3088e12
"1995-12-31",7.6641e12
"1996-12-31",8.1002e12
"1997-12-31",8.6085e12
"1998-12-31",9.0892e12
"1999-12-31",9.6606e12
"2000-12-31",1.02848e13
"2001-12-31",1.06218e13
"2002-12-31",1.09775e13
"2003-12-31",1.15107e13
"2004-12-31",1.22749e13
"2005-12-31",1.30937e13
"2006-12-31",1.38559e13
"2007-12-31",1.44776e13
"2008-12-31",1.47186e13
"2009-12-31",1.44187e13
"2010-12-31",1.49644e13
"2011-12-31",1.55179e13
"2012-12-31",1.61632e13
"2013-12-31",1.67681e13
